id,date,kind,counterparty,amountUsd,dueDate,paidDate,termsDays,invoiceId,sourceId
LG-0001,2025-09-03,AR,"Northwind Logistics",183000,2025-10-03,2025-11-08,30,AR-00001,ledger-ar
LG-0277,2025-09-05,AR,"Oakhurst Timber",6948,2025-10-20,2025-10-21,45,AR-00277,ledger-ar
LG-0325,2025-09-05,AP,"Kestrel Freight",106255,2025-10-20,2025-09-20,45,AP-00325,ledger-ap
LG-0145,2025-09-06,AR,"Ellery Chemical",19885,2025-10-06,2025-10-21,30,AR-00145,ledger-ar
LG-0253,2025-09-06,AR,"Larkspur Dairy",8116,2025-10-21,2025-10-19,45,AR-00253,ledger-ar
LG-0301,2025-09-06,AR,"Sturgis Bearing",6250,2025-10-06,2025-10-06,30,AR-00301,ledger-ar
LG-0349,2025-09-06,AP,"Verity Carriers",56871,2025-10-21,2025-10-21,45,AP-00349,ledger-ap
LG-0013,2025-09-07,AR,"Calder Foods",117000,2025-10-07,2025-10-31,30,AR-00013,ledger-ar
LG-0121,2025-09-07,AR,"Marrow Fabrication",32590,2025-10-22,2025-10-25,45,AR-00121,ledger-ar
LG-0217,2025-09-07,AR,"Braddock Tooling",12985,2025-10-07,2025-10-03,30,AR-00217,ledger-ar
LG-0265,2025-09-07,AR,"Crestline Motors",6203,2025-10-07,2025-10-05,30,AR-00265,ledger-ar
LG-0289,2025-09-07,AR,"Wexley Plastics",5663,2025-10-07,2025-10-03,30,AR-00289,ledger-ar
LG-0337,2025-09-07,AP,"Halden Transport",54884,2025-10-22,2025-10-20,45,AP-00337,ledger-ap
LG-0361,2025-09-07,AP,"Tallow Bay Shipping",41123,2025-10-22,2025-10-21,45,AP-00361,ledger-ap
LG-0373,2025-09-07,AP,"Prairie Steel Supply",95790,2025-10-22,2025-10-21,45,AP-00373,ledger-ap
LG-0433,2025-09-07,AP,"Sandoval Bearings",32954,2025-10-07,2025-10-10,30,AP-00433,ledger-ap
LG-0481,2025-09-07,AP,"Lumen Analytics",7968,2025-10-07,2025-10-11,30,AP-00481,ledger-ap
LG-0313,2025-09-08,AR,"Halcyon Optics",5771,2025-10-08,2025-10-08,30,AR-00313,ledger-ar
LG-0409,2025-09-08,AP,"Whitlock Components",42220,2025-10-08,2025-10-06,30,AP-00409,ledger-ap
LG-0445,2025-09-08,AP,"Grantham Facilities",24942,2025-10-08,2025-10-06,30,AP-00445,ledger-ap
LG-0457,2025-09-09,AP,"Bluepeak Energy",23893,2025-10-09,2025-09-23,30,AP-00457,ledger-ap
LG-0601,2025-09-09,AP,"Hargrave Tooling",11046,2025-10-24,2025-10-08,45,AP-00601,ledger-ap
LG-0037,2025-09-10,AR,"Attwater Group",68268,2025-10-10,2025-10-05,30,AR-00037,ledger-ar
LG-0133,2025-09-10,AR,"Thistledown Farms",29816,2025-10-25,2025-11-06,45,AR-00133,ledger-ar
LG-0505,2025-09-10,AP,"Trellis HR Systems",5517,2025-10-10,2025-10-11,30,AP-00505,ledger-ap
LG-0529,2025-09-10,AP,"Pinehurst Audit",8139,2025-10-25,2025-10-11,45,AP-00529,ledger-ap
LG-0589,2025-09-10,AP,"Cobblestone Print",4149,2025-10-10,2025-10-08,30,AP-00589,ledger-ap
LG-0025,2025-09-11,AR,"Boreal Systems",74017,2025-10-11,2025-10-09,30,AR-00025,ledger-ar
LG-0181,2025-09-11,AR,"Delmar Packaging",18595,2025-10-11,2025-10-25,30,AR-00181,ledger-ar
LG-0193,2025-09-11,AR,"Quarry Lane Metals",14596,2025-10-11,2025-10-21,30,AR-00193,ledger-ar
LG-0385,2025-09-11,AP,"Corvid Alloys",87402,2025-10-26,2025-10-24,45,AP-00385,ledger-ap
LG-0493,2025-09-11,AP,"Cindermill Cloud",12072,2025-10-11,2025-10-09,30,AP-00493,ledger-ap
LG-0061,2025-09-12,AR,"Cortland Manufacturing",49081,2025-10-27,2025-11-01,45,AR-00061,ledger-ar
LG-0109,2025-09-12,AR,"Kelvin Process",33249,2025-10-12,2025-10-15,30,AR-00109,ledger-ar
LG-0229,2025-09-12,AR,"Norwood Textiles",12809,2025-10-27,2025-11-02,45,AR-00229,ledger-ar
LG-0073,2025-09-13,AR,"Ridgeway Utilities",45437,2025-10-28,2025-11-09,45,AR-00073,ledger-ar
LG-0205,2025-09-13,AR,"Ashfield Energy",11420,2025-10-13,2025-10-11,30,AR-00205,ledger-ar
LG-0241,2025-09-13,AR,"Fenmore Aggregates",9341,2025-10-13,2025-10-14,30,AR-00241,ledger-ar
LG-0541,2025-09-13,AP,"Kavanagh Consulting",6047,2025-10-13,2025-09-28,30,AP-00541,ledger-ap
LG-0553,2025-09-13,AP,"Stonepath Insurance",14720,2025-10-13,2025-10-16,30,AP-00553,ledger-ap
LG-0613,2025-09-13,AP,"Wren Calibration",4579,2025-10-13,2025-10-13,30,AP-00613,ledger-ap
LG-0049,2025-09-14,AR,"Pell & Hardy",58476,2025-10-14,2025-10-19,30,AR-00049,ledger-ar
LG-0097,2025-09-14,AR,"Ironbridge Rail",42341,2025-10-29,2025-10-28,45,AR-00097,ledger-ar
LG-0157,2025-09-14,AR,"Vantage Precision",23764,2025-10-14,2025-10-12,30,AR-00157,ledger-ar
LG-0169,2025-09-14,AR,"Holloway Mining",16652,2025-10-14,2025-10-14,30,AR-00169,ledger-ar
LG-0469,2025-09-14,AP,"Ormsby Maintenance",15823,2025-10-14,2025-09-30,30,AP-00469,ledger-ap
LG-0565,2025-09-14,AP,"Merrick Safety",5237,2025-10-14,2025-10-14,30,AP-00565,ledger-ap
LG-0577,2025-09-14,AP,"Aldergate Packaging",17485,2025-10-14,2025-10-12,30,AP-00577,ledger-ap
LG-0085,2025-09-15,AR,"Sable Point Marine",33297,2025-10-15,2025-10-15,30,AR-00085,ledger-ar
LG-0397,2025-09-15,AP,"Dunmore Castings",60450,2025-10-15,2025-10-14,30,AP-00397,ledger-ap
LG-0421,2025-09-15,AP,"Ferris Electronics",40185,2025-10-15,2025-10-14,30,AP-00421,ledger-ap
LG-0517,2025-09-15,AP,"Radley Legal",10480,2025-10-15,2025-09-30,30,AP-00517,ledger-ap
LG-0002,2025-10-03,AR,"Northwind Logistics",192150,2025-11-02,2025-12-11,30,AR-00002,ledger-ar
LG-0110,2025-10-04,AR,"Kelvin Process",37033,2025-11-03,2025-11-03,30,AR-00110,ledger-ar
LG-0302,2025-10-04,AR,"Sturgis Bearing",5039,2025-11-03,2025-11-02,30,AR-00302,ledger-ar
LG-0314,2025-10-04,AR,"Halcyon Optics",4301,2025-11-03,2025-11-16,30,AR-00314,ledger-ar
LG-0038,2025-10-05,AR,"Attwater Group",64610,2025-11-04,2025-11-08,30,AR-00038,ledger-ar
LG-0326,2025-10-05,AP,"Kestrel Freight",107393,2025-11-19,2025-10-22,45,AP-00326,ledger-ap
LG-0026,2025-10-06,AR,"Boreal Systems",79281,2025-11-05,2025-11-10,30,AR-00026,ledger-ar
LG-0050,2025-10-06,AR,"Pell & Hardy",47123,2025-11-05,2025-11-09,30,AR-00050,ledger-ar
LG-0374,2025-10-06,AP,"Prairie Steel Supply",106215,2025-11-20,2025-11-07,45,AP-00374,ledger-ap
LG-0470,2025-10-06,AP,"Ormsby Maintenance",17252,2025-11-05,2025-11-03,30,AP-00470,ledger-ap
LG-0554,2025-10-06,AP,"Stonepath Insurance",13496,2025-11-05,2025-11-03,30,AP-00554,ledger-ap
LG-0014,2025-10-07,AR,"Calder Foods",122850,2025-11-06,2025-11-30,30,AR-00014,ledger-ar
LG-0062,2025-10-07,AR,"Cortland Manufacturing",53248,2025-11-21,2025-11-18,45,AR-00062,ledger-ar
LG-0170,2025-10-07,AR,"Holloway Mining",19119,2025-11-06,2025-11-10,30,AR-00170,ledger-ar
LG-0206,2025-10-08,AR,"Ashfield Energy",11465,2025-11-07,2025-11-07,30,AR-00206,ledger-ar
LG-0422,2025-10-08,AP,"Ferris Electronics",41473,2025-11-07,2025-11-06,30,AP-00422,ledger-ap
LG-0602,2025-10-08,AP,"Hargrave Tooling",14589,2025-11-22,2025-11-21,45,AP-00602,ledger-ap
LG-0194,2025-10-09,AR,"Quarry Lane Metals",15140,2025-11-08,2025-11-07,30,AR-00194,ledger-ar
LG-0218,2025-10-09,AR,"Braddock Tooling",13115,2025-11-08,2025-11-06,30,AR-00218,ledger-ar
LG-0266,2025-10-09,AR,"Crestline Motors",8080,2025-11-08,2025-11-15,30,AR-00266,ledger-ar
LG-0278,2025-10-09,AR,"Oakhurst Timber",6092,2025-11-23,2025-11-20,45,AR-00278,ledger-ar
LG-0434,2025-10-09,AP,"Sandoval Bearings",31714,2025-11-08,2025-11-06,30,AP-00434,ledger-ap
LG-0482,2025-10-09,AP,"Lumen Analytics",8507,2025-11-08,2025-11-06,30,AP-00482,ledger-ap
LG-0566,2025-10-09,AP,"Merrick Safety",4625,2025-11-08,2025-11-06,30,AP-00566,ledger-ap
LG-0098,2025-10-10,AR,"Ironbridge Rail",40775,2025-11-24,2025-12-01,45,AR-00098,ledger-ar
LG-0182,2025-10-10,AR,"Delmar Packaging",19192,2025-11-09,2025-11-04,30,AR-00182,ledger-ar
LG-0350,2025-10-10,AP,"Verity Carriers",50886,2025-11-24,2025-11-26,45,AP-00350,ledger-ap
LG-0362,2025-10-10,AP,"Tallow Bay Shipping",35948,2025-11-24,2025-11-24,45,AP-00362,ledger-ap
LG-0458,2025-10-10,AP,"Bluepeak Energy",23387,2025-11-09,2025-10-23,30,AP-00458,ledger-ap
LG-0614,2025-10-10,AP,"Wren Calibration",5366,2025-11-09,2025-11-09,30,AP-00614,ledger-ap
LG-0290,2025-10-11,AR,"Wexley Plastics",6568,2025-11-10,2025-11-21,30,AR-00290,ledger-ar
LG-0542,2025-10-11,AP,"Kavanagh Consulting",5978,2025-11-10,2025-11-09,30,AP-00542,ledger-ap
LG-0074,2025-10-12,AR,"Ridgeway Utilities",39834,2025-11-26,2025-11-24,45,AR-00074,ledger-ar
LG-0338,2025-10-12,AP,"Halden Transport",70112,2025-11-26,2025-11-26,45,AP-00338,ledger-ap
LG-0410,2025-10-12,AP,"Whitlock Components",49671,2025-11-11,2025-11-11,30,AP-00410,ledger-ap
LG-0494,2025-10-12,AP,"Cindermill Cloud",13332,2025-11-11,2025-11-10,30,AP-00494,ledger-ap
LG-0518,2025-10-12,AP,"Radley Legal",10204,2025-11-11,2025-11-09,30,AP-00518,ledger-ap
LG-0230,2025-10-13,AR,"Norwood Textiles",13479,2025-11-27,2025-11-27,45,AR-00230,ledger-ar
LG-0590,2025-10-13,AP,"Cobblestone Print",4006,2025-11-12,2025-11-10,30,AP-00590,ledger-ap
LG-0086,2025-10-14,AR,"Sable Point Marine",39341,2025-11-13,2025-11-13,30,AR-00086,ledger-ar
LG-0146,2025-10-14,AR,"Ellery Chemical",25949,2025-11-13,2025-11-14,30,AR-00146,ledger-ar
LG-0254,2025-10-14,AR,"Larkspur Dairy",8068,2025-11-28,2025-12-03,45,AR-00254,ledger-ar
LG-0386,2025-10-14,AP,"Corvid Alloys",77234,2025-11-28,2025-11-13,45,AP-00386,ledger-ap
LG-0530,2025-10-14,AP,"Pinehurst Audit",7004,2025-11-28,2025-11-11,45,AP-00530,ledger-ap
LG-0122,2025-10-15,AR,"Marrow Fabrication",31670,2025-11-29,2025-11-27,45,AR-00122,ledger-ar
